time,position,velocity,setpoint,output
2.5200,2.000000,0.000001,2.000000,0.608212
2.5400,2.000000,0.000001,2.000000,0.608212
2.5600,2.000000,0.000001,2.000000,0.608212
2.5800,2.000000,0.000001,2.000000,0.608212
2.6000,2.000000,0.000001,2.000000,0.608212
2.6200,2.000000,0.000001,2.000000,0.608212
2.6400,2.000000,0.000001,2.000000,0.608212
2.6600,2.000000,0.000001,2.000000,0.608212
2.6800,2.000000,0.000001,2.000000,0.608212
2.7000,2.000000,0.000001,2.000000,0.608212
2.7200,2.000000,0.000001,2.000000,0.608212
2.7400,2.000000,0.000001,2.000000,0.608212
2.7600,2.000000,0.000001,2.000000,0.608212
2.7800,2.000000,0.000001,2.000000,0.608212
2.8000,2.000000,0.000001,2.000000,0.608212
2.8200,2.000000,0.000001,2.000000,0.608212
2.8400,2.000000,0.000001,2.000000,0.608212
2.8600,2.000000,0.000001,2.000000,0.608212
2.8800,2.000000,0.000001,2.000000,0.608212
2.9000,2.000000,0.000001,2.000000,0.608212
2.9200,2.000000,0.000001,2.000000,0.608212
2.9400,2.000000,0.000001,2.000000,0.608212
2.9600,2.000000,0.000001,2.000000,0.608212
2.9800,2.000000,0.000001,2.000000,0.608212
3.0000,2.000000,0.000001,2.000000,0.608212
3.0200,2.000000,0.000001,2.000000,0.608212
3.0400,2.000000,0.000001,2.000000,0.608212
3.0600,2.000000,0.000001,2.000000,0.608212
3.0800,2.000000,0.000001,2.000000,0.608212
3.1000,2.000000,0.000001,2.000000,0.608212
3.1200,2.000000,0.000001,2.000000,0.608212
3.1400,2.000000,0.000001,2.000000,0.608212
3.1600,2.000000,0.000001,2.000000,0.608212
3.1800,2.000000,0.000001,2.000000,0.608212
3.2000,2.000000,0.000001,2.000000,0.608212
3.2200,2.000000,0.000001,2.000000,0.608212
3.2400,2.000000,0.000001,2.000000,0.608212
3.2600,2.000000,0.000001,2.000000,0.608212
3.2800,2.000000,0.000001,2.000000,0.608212
3.3000,2.000000,0.000001,2.000000,0.608212
3.3200,2.000000,0.000001,2.000000,0.608212
3.3400,2.000000,0.000001,2.000000,0.608212
3.3600,2.000000,0.000001,2.000000,0.608212
3.3800,2.000000,0.000001,2.000000,0.608212
3.4000,2.000000,0.000001,2.000000,0.608212
3.4200,2.000000,0.000001,2.000000,0.608212
3.4400,2.000000,0.000001,2.000000,0.608212
3.4600,2.000000,0.000001,2.000000,0.608212
3.4800,2.000000,0.000001,2.000000,0.608212
3.5000,2.000000,0.000001,2.000000,0.608212
3.5200,2.000000,0.000001,2.000000,0.608212
3.5400,2.000000,0.000001,2.000000,0.608212
3.5600,2.000000,0.000001,2.000000,0.608212
3.5800,2.000000,0.000001,2.000000,0.608212
3.6000,2.000000,0.000001,2.000000,0.608212
3.6200,2.000000,0.000001,2.000000,0.608212
3.6400,2.000000,0.000001,2.000000,0.608212
3.6600,2.000000,0.000001,2.000000,0.608212
3.6800,2.000000,0.000001,2.000000,0.608212
3.7000,2.000000,0.000001,2.000000,0.608212
3.7200,2.000000,0.000001,2.000000,0.608212
3.7400,2.000000,0.000001,2.000000,0.608212
3.7600,2.000000,0.000001,2.000000,0.608212
3.7800,2.000000,0.000001,2.000000,0.608212
3.8000,2.000000,0.000001,2.000000,0.608212
3.8200,2.000000,0.000001,2.000000,0.608212
3.8400,2.000000,0.000001,2.000000,0.608212
3.8600,2.000000,0.000001,2.000000,0.608212
3.8800,2.000000,0.000001,2.000000,0.608212
3.9000,2.000000,0.000001,2.000000,0.608212
3.9200,2.000000,0.000001,2.000000,0.608212
3.9400,2.000000,0.000001,2.000000,0.608212
3.9600,2.000000,0.000001,2.000000,0.608212
3.9800,2.000000,0.000001,2.000000,0.608212
4.0000,2.000000,0.000001,2.000000,0.608212
